Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Kaishu Sano,Mainz 05,23.0,MF,de Bundesliga,21.0,10.28889749948373,-10.71110250051627,-0.5100525000245844
Johan Vásquez,Genoa,25.0,DF,it Serie A,15.0,13.94663532436189,-1.0533646756381092,-0.07022431170920727
William Saliba,Arsenal,23.0,DF,eng Premier League,81.00000000000003,78.04526601260649,-2.9547339873935385,-0.03647819737522886
Federico Valverde,Real Madrid,26.0,MF,es La Liga,130.99999999999994,24.741217901574252,-106.25878209842568,-0.8111357412093567
César Tárrega,Valencia,22.0,DF,es La Liga,11.000000000000002,19.008260001843297,8.008260001843295,0.7280236365312085
Youri Tielemans,Aston Villa,27.0,MF,eng Premier League,38.99999999999999,44.43060664218948,5.430606642189488,0.13924632415870486
Dodô,Fiorentina,25.0,DF,it Serie A,24.999999999999996,17.991520674450037,-7.00847932554996,-0.28033917302199846
Bruno Fernandes,Manchester Utd,29.0,MF,eng Premier League,51.0,68.82157806172185,17.82157806172185,0.34944270709258535
Sam Beukema,Bologna,25.0,DF,it Serie A,29.000000000000004,17.48780141116202,-11.512198588837983,-0.3969723651323442
Ola Aina,Nott'ham Forest,27.0,DF,eng Premier League,23.0,16.839930568645375,-6.160069431354625,-0.26782910571107066
Simon Sohm,Parma,23.0,MF,it Serie A,6.0,18.148080073152975,12.148080073152975,2.0246800121921624
Marc Cucurella,Chelsea,26.0,DF,eng Premier League,36.0,36.31202943233358,0.31202943233358127,0.008667484231488368
Enzo Boyomo,Osasuna,22.0,DF,es La Liga,21.0,10.227462371462448,-10.772537628537552,-0.512977982311312
Luca Ranieri,Fiorentina,25.0,DF,it Serie A,13.0,16.598299416683737,3.598299416683737,0.27679226282182595
Alex Iwobi,Fulham,28.0,FW,eng Premier League,29.000000000000004,50.21731154221671,21.21731154221671,0.7316314324902312
Lewis Cook,Bournemouth,27.0,MF,eng Premier League,15.999999999999998,19.006347935208925,3.006347935208927,0.18789674595055797
João Gomes,Wolves,23.0,MF,eng Premier League,41.00000000000001,30.72274547382235,-10.277254526177657,-0.2506647445409184
Javi Puado,Espanyol,26.0,FW,es La Liga,11.000000000000002,18.229044094002642,7.22904409400264,0.6571858267275127
Jarrod Bowen,West Ham,27.0,FW,eng Premier League,41.00000000000001,47.04963651976657,6.049636519766565,0.14755211023820888
Marash Kumbulla,Espanyol,24.0,DF,es La Liga,8.5,11.226122310411355,2.7261223104113554,0.32072027181310064
Omar Alderete,Getafe,27.0,DF,es La Liga,9.000000000000002,5.5823762741839325,-3.4176237258160693,-0.37973596953511873
Jonathan Tah,Leverkusen,28.0,DF,de Bundesliga,31.0,18.50190070248994,-12.498099297510059,-0.40316449346806643
Hauke Wahl,St. Pauli,30.0,DF,de Bundesliga,2.5,7.747587586846659,5.247587586846659,2.0990350347386633
Aimar Oroz,Osasuna,22.0,MF,es La Liga,15.999999999999998,20.494590161387983,4.494590161387984,0.2809118850867491
Jaka Bijol,Udinese,25.0,DF,it Serie A,18.999999999999996,13.816979133711273,-5.183020866288723,-0.27279057190993283
Martín Zubimendi,Real Sociedad,25.0,MF,es La Liga,61.00000000000001,13.405563137998369,-47.594436862001636,-0.7802366698688792
Chris Wood,Nott'ham Forest,32.0,FW,eng Premier League,11.000000000000002,34.87771853090732,23.877718530907323,2.170701684627938
Jan Paul van Hecke,Brighton,24.0,DF,eng Premier League,33.0,56.29253351188907,23.29253351188907,0.7058343488451233
Lucas Torró,Osasuna,30.0,MF,es La Liga,4.0,4.886039655152623,0.8860396551526231,0.22150991378815577
Ante Budimir,Osasuna,33.0,FW,es La Liga,6.0,13.907026727996543,7.907026727996543,1.3178377879994239
Enzo Fernández,Chelsea,23.0,MF,eng Premier League,76.0,91.3298481320869,15.329848132086894,0.20170852805377493
Enrico Del Prato,Parma,24.0,DF,it Serie A,7.499999999999999,17.487650006454018,9.987650006454018,1.3316866675272025
Sergi Cardona,Villarreal,25.0,DF,es La Liga,11.000000000000002,10.117120108608045,-0.8828798913919567,-0.08026180830835969
Jeffrey Gouweleeuw,Augsburg,33.0,DF,de Bundesliga,2.5,5.751344715906348,3.251344715906348,1.3005378863625392
