Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Carlos Vicente,Alavés,25.0,FW,es La Liga,4.999999999999999,14.51521,9.515210151672363,1.903042030334473
Dodi Lukebakio,Sevilla,26.0,FW,es La Liga,21.0,30.01275,9.012750625610352,0.42917860121954055
Aarón Martín,Genoa,27.0,DF,it Serie A,7.499999999999999,8.512885,1.0128850936889657,0.13505134582519546
Vitaliy Mykolenko,Everton,25.0,DF,eng Premier League,29.000000000000004,22.45662,-6.543380737304691,-0.22563381852774794
Jesús Areso,Osasuna,25.0,DF,es La Liga,13.0,14.004006,1.0040063858032227,0.07723126044640174
Calvin Bassey,Fulham,24.0,DF,eng Premier League,26.000000000000004,54.986057,28.986057281494137,1.1148483569805436
Andrei Ratiu,Rayo Vallecano,26.0,DF,es La Liga,13.0,13.743299,0.7432985305786133,0.05717681004450871
Idrissa Gana Gueye,Everton,34.0,MF,eng Premier League,4.999999999999999,4.553057,-0.4469428062438956,-0.08938856124877914
Jordan Lefort,Angers,30.0,DF,fr Ligue 1,2.5,3.22714,0.727139949798584,0.29085597991943357
Danilho Doekhi,Union Berlin,26.0,DF,de Bundesliga,13.999999999999996,9.468521,-4.531478881835934,-0.3236770629882811
Patrick Mainka,Heidenheim,29.0,DF,de Bundesliga,4.0,5.747859,1.747859001159668,0.436964750289917
Gabriele Zappa,Cagliari,24.0,DF,it Serie A,4.999999999999999,13.899842,8.899842262268066,1.7799684524536137
Marc Guéhi,Crystal Palace,24.0,DF,eng Premier League,46.0,42.35852,-3.6414794921875,-0.07916259765625
Marten de Roon,Atalanta,33.0,MF,it Serie A,6.0,6.835742,0.8357419967651367,0.13929033279418945
Nikola Krstović,Lecce,24.0,FW,it Serie A,15.999999999999998,32.125637,16.12563705444336,1.0078523159027102
Kaishu Sano,Mainz 05,23.0,MF,de Bundesliga,21.0,17.403492,-3.596508026123047,-0.17126228695824033
Johan Vásquez,Genoa,25.0,DF,it Serie A,15.0,17.362835,2.362834930419922,0.15752232869466146
William Saliba,Arsenal,23.0,DF,eng Premier League,81.00000000000003,64.30124,-16.698760986328153,-0.20615754304108824
Federico Valverde,Real Madrid,26.0,MF,es La Liga,130.99999999999994,63.40425,-67.59574890136713,-0.5159980832165432
César Tárrega,Valencia,22.0,DF,es La Liga,11.000000000000002,18.04384,7.0438404083251935,0.6403491280295629
Youri Tielemans,Aston Villa,27.0,MF,eng Premier League,38.99999999999999,47.515785,8.515785217285163,0.21835346710987602
Dodô,Fiorentina,25.0,DF,it Serie A,24.999999999999996,15.459107,-9.54089260101318,-0.38163570404052727
Bruno Fernandes,Manchester Utd,29.0,MF,eng Premier League,51.0,52.063313,1.0633125305175781,0.02084926530426624
Sam Beukema,Bologna,25.0,DF,it Serie A,29.000000000000004,30.625261,1.6252613067626918,0.05604349333664454
Ola Aina,Nott'ham Forest,27.0,DF,eng Premier League,23.0,14.675537,-8.324462890625,-0.3619331691576087
Simon Sohm,Parma,23.0,MF,it Serie A,6.0,18.14641,12.14640998840332,2.0244016647338867
Marc Cucurella,Chelsea,26.0,DF,eng Premier League,36.0,46.427757,10.427757263183594,0.28965992397732204
Enzo Boyomo,Osasuna,22.0,DF,es La Liga,21.0,11.919667,-9.08033275604248,-0.43239679790678476
Luca Ranieri,Fiorentina,25.0,DF,it Serie A,13.0,18.307411,5.307411193847656,0.4082623995267428
Alex Iwobi,Fulham,28.0,FW,eng Premier League,29.000000000000004,31.381414,2.381414413452145,0.08211773839490154
Lewis Cook,Bournemouth,27.0,MF,eng Premier League,15.999999999999998,18.301796,2.301795959472658,0.14386224746704115
João Gomes,Wolves,23.0,MF,eng Premier League,41.00000000000001,42.144005,1.1440048217773366,0.027902556628715523
Javi Puado,Espanyol,26.0,FW,es La Liga,11.000000000000002,29.912458,18.912458419799805,1.719314401799982
